央视1,#genre#
甘肃卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225633
西藏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225638
陕西卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225625
青海卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225628
西藏卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226433
延边卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226516
兵团卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226439
康巴卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225660
安多卫视,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225659

北京卫视,http://iptv.huuc.edu.cn/hls/btv1hd.m3u8
湖南卫视,http://iptv.huuc.edu.cn/hls/hunanhd.m3u8
浙江卫视,http://iptv.huuc.edu.cn/hls/zjhd.m3u8
江苏卫视,http://iptv.huuc.edu.cn/hls/jshd.m3u8
东方卫视,http://iptv.huuc.edu.cn/hls/dfhd.m3u8
安徽卫视,http://iptv.huuc.edu.cn/hls/ahhd.m3u8
黑龙江卫视,http://iptv.huuc.edu.cn/hls/hljhd.m3u8
辽宁卫视,http://iptv.huuc.edu.cn/hls/lnhd.m3u8
深圳卫视,http://iptv.huuc.edu.cn/hls/szhd.m3u8
湖北卫视,http://iptv.huuc.edu.cn/hls/hbhd.m3u8
山东卫视,http://iptv.huuc.edu.cn/hls/sdhd.m3u8
重庆卫视,http://iptv.huuc.edu.cn/hls/cqhd.m3u8
四川卫视,http://iptv.huuc.edu.cn/hls/schd.m3u8
东南卫视,http://iptv.huuc.edu.cn/hls/dnhd.m3u8
江西卫视,http://iptv.huuc.edu.cn/hls/jxhd.m3u8
西藏卫视,http://iptv.huuc.edu.cn/hls/xztv.m3u8
内蒙古卫视,http://iptv.huuc.edu.cn/hls/nmtv.m3u8
青海卫视,http://iptv.huuc.edu.cn/hls/qhtv.m3u8
厦门卫视,http://iptv.huuc.edu.cn/hls/xmtv.m3u8
新疆卫视,http://iptv.huuc.edu.cn/hls/xjtv.m3u8
云南卫视,http://iptv.huuc.edu.cn/hls/yntv.m3u8
宁夏卫视,http://iptv.huuc.edu.cn/hls/nxtv.m3u8
甘肃卫视,http://iptv.huuc.edu.cn/hls/gstv.m3u8
兵团卫视,http://iptv.huuc.edu.cn/hls/bttv.m3u8

浙江卫视,http://ms.fxim.net:808/hls/14/index.m3u8
江苏卫视,http://ms.fxim.net:808/hls/16/index.m3u8
东方卫视,http://ms.fxim.net:808/hls/17/index.m3u8
安徽卫视,http://ms.fxim.net:808/hls/18/index.m3u8
重庆卫视,http://ms.fxim.net:808/hls/19/index.m3u8
四川卫视,http://ms.fxim.net:808/hls/20/index.m3u8
天津卫视,http://ms.fxim.net:808/hls/21/index.m3u8
北京卫视,http://ms.fxim.net:808/hls/22/index.m3u8
青海卫视,http://ms.fxim.net:808/hls/23/index.m3u8
辽宁卫视,http://ms.fxim.net:808/hls/24/index.m3u8
江西卫视,http://ms.fxim.net:808/hls/25/index.m3u8
甘肃卫视,http://ms.fxim.net:808/hls/26/index.m3u8
广东卫视,http://ms.fxim.net:808/hls/27/index.m3u8
吉林卫视,http://ms.fxim.net:808/hls/28/index.m3u8
湖南卫视,http://ms.fxim.net:808/hls/29/index.m3u8
湖北卫视,http://ms.fxim.net:808/hls/30/index.m3u8
河北卫视,http://ms.fxim.net:808/hls/31/index.m3u8
河南卫视,http://ms.fxim.net:808/hls/32/index.m3u8

浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
